sentences,labels
"John ignored the articles that contradicted his opinion.",ConfirmationBias
"Sarah dismissed the report because it didn't support her beliefs.",ConfirmationBias
"Michael only shared studies that confirmed his point of view.",ConfirmationBias
"Emma focused on research that aligned with her stance, disregarding opposing evidence.",ConfirmationBias
"David refused to consider arguments that challenged his beliefs.",ConfirmationBias
"Rachel only referenced sources that agreed with her position.",ConfirmationBias
"Liam avoided reading studies that disproved his theory.",ConfirmationBias
"Laura relied on sources that confirmed her preconceptions.",ConfirmationBias
"James rejected any evidence that didn't support his existing opinions.",ConfirmationBias
"Olivia stuck to information that reinforced what she already believed.",ConfirmationBias
"Jacob ignored research that didn't align with his views.",ConfirmationBias
"Sophia focused only on data that supported her perspective.",ConfirmationBias
"Ben dismissed contrary opinions, seeking only confirmation of his own.",ConfirmationBias
"Ella chose to read articles that confirmed her biases.",ConfirmationBias
"Lucas disregarded conflicting reports and stuck to his original viewpoint.",ConfirmationBias
"Chloe avoided studies that challenged her preconceived notions.",ConfirmationBias
"Ethan only believed information that matched his previous assumptions.",ConfirmationBias
"Ava refused to acknowledge research that contradicted her opinion.",ConfirmationBias
"Mia dismissed reports that went against what she already thought was true.",ConfirmationBias
"Jack stuck with articles that aligned with his beliefs, ignoring any opposing ones.",ConfirmationBias
"Mark avoided any articles that challenged his viewpoint, focusing only on those that confirmed it.",ConfirmationBias
"Jenny disregarded the report because it contradicted her preconceived ideas.",ConfirmationBias
"Tom only cited studies that supported his argument, ignoring any that offered a different perspective.",ConfirmationBias
"Anna chose to share information that reinforced her existing beliefs, leaving out contradictory data.",ConfirmationBias
"Oliver filtered out evidence that didn't align with his opinions.",ConfirmationBias
"Grace rejected any facts that opposed her current views.",ConfirmationBias
"Ethan only accepted findings that backed up his prior assumptions.",ConfirmationBias
"Lily ignored studies that questioned her established beliefs.",ConfirmationBias
"Henry sought out research that validated his stance, refusing to acknowledge opposing data.",ConfirmationBias
"Isla disregarded the paper that offered a different viewpoint, sticking to what she already believed.",ConfirmationBias
